Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Christian Oppor","CHW",11.0205,0,0,4.79989,33,33,0,0,,198,841.801,186.755,115.335,105.598,27.6294,89.4991,2.55864,9.9484,166.34,7.56092,4.06814,1.85857,1.25588,0.1976,0.106319,0.09128179401159286,0.251572,1.39522,0.290172,0.677345,,,4.77576,1.28372,0.85527,999,,,,,,,669.6000000000001,3.3818181818181827,661,3.3383838383838382,,,,,,,,,,,,,,,,,,,"Christian Oppor","sa3022950",803291
"Orion Kerkering","PHI",4.96155,0,0,3.14654,70,0,0,0,,70,297.49,58.9538,26.7299,24.4731,6.87931,24.7344,0.904215,3.28843,78.9639,10.1525,3.18014,3.19247,0.884483,0.265434,0.0831436,0.182290181517601,0.218779,1.19555,0.283593,0.769113,,,3.35759,1.28277,1.57144,999,,,,,,,352.5,5.035714285714286,333,4.757142857142857,,,,,,,,,,,,,,,,,,,"Orion Kerkering","31776",689147
"JP Sears","SDP",11.0903,0,0,4.7981,33,33,0,0,,198,846.921,198.765,115.292,105.558,35.5738,58.4464,2.5742,8.96715,163.973,7.45332,2.65666,2.80553,1.61699,0.193611,0.0690105,0.12460032105445862,0.254988,1.29905,0.281383,0.684249,,,4.83591,1.27505,0.85527,999,,,,,,,632.0000000000001,3.1919191919191925,649,3.2777777777777777,,,,,,,,,,,,,,,,,,,"JP Sears","23429",676664
"David Bednar","NYY",4.87363,0,0,3.14571,70,0,0,0,,70,292.161,55.0522,26.7229,24.4666,7.68442,26.2452,0.888018,3.29394,85.0901,10.9402,3.37438,3.24212,0.987997,0.291244,0.0898312,0.20141255110502243,0.209625,1.16139,0.278884,0.773677,,,3.39706,1.27438,1.57181,63.43000030517578,,,,,,,359.6,5.137142857142858,329,4.7,,,,,,,,,,,,,,,,,,,"David Bednar","19569",670280
"Tyler Stuart","WSN",10.9587,0,0,4.86367,33,33,0,0,,198,844.59,201.745,116.868,107.001,27.0164,73.5563,2.56712,9.44595,140.525,6.3875,3.34347,1.91044,1.22802,0.166383,0.0870911,0.07929138839244843,0.2649,1.39041,0.294133,0.667148,,,4.7471,1.27308,0.665613,999,,,,,,,640.8999999999999,3.2368686868686862,672,3.393939393939394,,,,,,,,,,,,,,,,,,,"Tyler Stuart","sa3020264",701603
"Wes Parsons",,12.1026,0,0,4.69103,33,33,0,0,,198,910.529,200.644,112.72,103.203,29.0967,96.5319,2.76754,10.7516,188.541,8.57006,4.38782,1.95315,1.32258,0.207068,0.106017,0.10105036199092865,0.249791,1.50089,0.292938,0.719294,,,4.76658,1.2721,1.04664,999,,,,,,,639.9,3.231818181818182,667,3.3686868686868685,,,,,,,,,,,,,,,,,,,"Wes Parsons","14764",641149
"Marco Raya","MIN",11.381,0,0,4.89749,33,33,0,0,,198,881.302,210.275,117.681,107.745,27.2745,81.6092,2.6787,10.0166,154.633,7.02875,3.70951,1.89479,1.23975,0.175459,0.0926007,0.08285854011774063,0.26628,1.47416,0.301103,0.686653,,,4.75221,1.26933,0.571418,999,,,,,,,621.0999999999999,3.1368686868686866,673,3.398989898989899,,,,,,,,,,,,,,,,,,,"Marco Raya","sa3014550",694397
"Luis Medina","ATH",12.1605,0,0,4.68653,33,33,0,0,,198,914.306,205.207,112.611,103.104,26.6692,96.9823,2.77902,10.7978,174.727,7.94214,4.40829,1.80164,1.21224,0.191103,0.106072,0.08503128588199615,0.254433,1.52621,0.295041,0.715787,,,4.75426,1.26814,1.04664,999,,,,,,,626.0999999999999,3.1621212121212117,665,3.3585858585858586,,,,,,,,,,,,,,,,,,,"Luis Medina","21649",665622
"Logan Workman","TBR",10.4147,0,0,4.964,33,33,0,0,,198,814.045,196.702,119.279,109.208,32.0519,59.1679,2.47428,8.71766,143.809,6.53678,2.68945,2.43053,1.4569,0.17666,0.0726838,0.10397616773843765,0.263619,1.29227,0.288709,0.647359,,,4.8155,1.26565,0.477643,999,,,,,,,643.3999999999999,3.2494949494949488,658,3.323232323232323,,,,,,,,,,,,,,,,,,,"Logan Workman","sa3017313",694312
"Riley Gowens","CHW",10.7067,0,0,4.81984,33,33,0,0,,198,820.12,185.08,115.815,106.036,30.0992,76.3693,2.49274,9.33528,159.775,7.26249,3.47133,2.09213,1.36814,0.194819,0.0931196,0.10169915109872818,0.25201,1.32045,0.284608,0.664057,,,4.79601,1.26287,0.760229,999,,,,,,,680.2,3.4353535353535354,665,3.3585858585858586,,,,,,,,,,,,,,,,,,,"Riley Gowens","sa3022948",803035
