Name,Value,Age,PA
"Daniel Flames",3.13601,19.4411,102
"Anderdson Rojas",3.12522,22.0795,128
"Paulino Santana",3.09205,19.3836,141
"Yohendrick Pinango",3.08703,23.9178,92
"Isaiah Drake",3.05832,20.726,144
"Dylan O'Rae",3.04987,22.1425,145
"Rafael Ramirez",3.04009,20.7069,72
"Adael Amador",2.99422,22.989,153
"Nate George",2.94972,19.8384,94
"Jackson Castillo",2.94475,22.9315,68
"Eddys Leonard",2.94125,25.4055,135
"Leo Balcazar",2.93117,21.8027,149
"Ty Southisene",2.90976,20.7452,139
"Charles McAdoo",2.90728,24.0877,151
"Drew Romo",2.90072,24.6055,68
"Jesús Rodríguez",2.88382,23.9562,115
"Kemp Alderman",2.86219,23.6301,146
"LuJames Groover",2.85708,23.9753,178
"Danny Serretti",2.81901,25.9178,112
"Tommy Troy",2.78695,24.2192,173
"Charlie Condon",2.77575,22.9808,149
"Lizandro Espinoza",2.72036,23.3781,117
"Carlos Jorge",2.65867,22.5397,98
"Kody Huff",2.64611,25.3205,147
"Will Bush",2.64574,22.0904,120
"Carson Williams",2.64509,22.7836,123
"Jansel Luis",2.64104,21.0849,133
"Niko Kavadas",2.63718,27.4466,108
"Abimelec Ortiz",2.63373,24.1205,121
"Jose Escobar",2.59521,21.5616,117
"Ethan Anderson",2.57112,22.5425,109
"Cristofer Torin",2.565,20.863,120
"Carlos Sanchez",2.55006,21.5425,62
"Jaden Fauske",2.54994,19.3726,128
"Hendry Mendez",2.50836,22.4137,102
"Jason Schiavone",2.49958,23.0521,138
"Angel Feliz",2.48917,19.3863,143
"Cam Collier",2.48319,21.3753,144
"Eric Bitonti",2.48294,20.3836,115
"Keiner Delgado",2.45065,22.2521,97
"Felix Reyes",2.45058,25.0329,84
"Noah Miller",2.44698,23.4,162
"Murf Gray",2.43562,22.2685,141
"Anthony Martinez",2.43548,21.9836,97
"Victor Figueroa",2.41086,22.2658,116
"Dylan Dreiling",2.39794,22.9726,108
"Marco Vargas",2.38198,20.8959,78
"Joshua Báez",2.37753,22.7753,146
"Carlos Colmenarez",2.35725,22.3918,67
"Jack Hurley",2.35377,24.0685,89
"Blake Burke",2.34361,22.8219,146
"Ike Irish",2.33335,22.3616,116
"Jeferson Quero",2.33305,23.4959,131
"Zac Veen",2.32347,24.3178,144
"Nacho Alvarez Jr.",2.31667,22.989,131
"Luis De La Cruz",2.29924,19.5315,105
"Jonathon Long",2.26856,24.211,165
"Aaron Walton",2.24976,21.8959,124
"Drew Davies",2.23085,20.337,112
"Ronny Mauricio",2.21895,25.0082,63
"Jhostynxon Garcia",2.21155,23.3205,84
"Dameury Pena",2.1881,20.5945,125
"Milán Tolentino",2.17884,24.3863,143
"Kristian Campbell",2.15247,23.7753,146
"Bryant Betancourt",2.1413,22.4849,124
"Jake Fox",2.12391,23.1479,81
"Alejandro Osuna",2.12363,23.4904,77
"Jacob Berry",2.12081,24.9233,124
"Mikey Romero",2.10756,22.2329,147
"Marco Luciano",2.10041,24.5726,117
"Gavin Kilen",2.08856,22.0247,137
"Coy James",2.07803,19.1342,137
"Owen Ayers",2.04627,24.8329,117
"JoJo Parker",2.04438,19.6603,128
"Andrew Salas",2.01687,18.0877,124
"Jose Verdugo",1.98707,18.526,112
"Stiven Martinez",1.98079,18.6603,86
"Thomas Sosa",1.98,21.2137,113
"Charles Davalan",1.94295,22.3068,137
"Cristian Jauregui",1.92443,20.1534,73
"Eduardo Beltre",1.92103,19.4877,67
"Colby Thomas",1.90013,25.1945,78
"Yeiferth Castillo",1.88054,19.3808,121
"Luke Dickerson",1.87291,20.6575,150
"Jim Jarvis",1.87144,25.4164,153
"Carlos Virahonda",1.84808,20.3151,116
"Gage Workman",1.84257,26.4548,150
"Tsung-Che Cheng",1.83106,24.6986,121
"Javier Mogollon",1.82952,20.4274,115
"Ricardo Olivar",1.82713,24.6575,112
