Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Nelson Velázquez","STL","ST",27,14,39,46,13,8,1,0,4,8,10,7,0,3,0,0,0,3,0,0,0.333333333,"Nelson Velazquez","23359",676369
"José Barrero","BAL","ST",28,14,33,35,4,1,1,0,2,4,5,1,0,13,1,0,0,0,0,0,0.121212121,"Jose Barrero","23378",676480
"Eric Wagaman","MIN","ST",28,16,35,40,9,8,0,0,1,3,3,5,0,11,0,0,0,2,1,2,0.257142857,"Eric Wagaman","23395",676572
"Davis Schneider","TOR","ST",27,15,32,41,3,3,0,0,0,1,2,7,0,10,1,1,0,2,0,1,0.09375,"Davis Schneider","23565",676914
"Brayan Rocchio","CLE","ST",25,12,32,36,10,5,4,0,1,3,4,4,0,7,0,0,0,1,2,1,0.3125,"Brayan Rocchio","23690",677587
"José Tena","WSN","ST",25,16,29,38,6,5,0,0,1,6,2,9,0,8,0,0,0,0,1,1,0.206896551,"Jose Tena","23691",677588
"Ronny Mauricio","NYM","ST",25,13,32,36,10,5,4,0,1,3,5,3,0,6,1,0,0,1,2,0,0.3125,"Ronny Mauricio","23698",677595
"Ezequiel Duran","TEX","ST",27,16,41,49,12,6,3,0,3,8,10,7,0,9,1,0,0,1,0,0,0.292682926,"Ezequiel Duran","23733",677649
"Blaze Alexander","BAL","ST",27,13,32,36,9,8,1,0,0,4,1,4,0,6,0,0,0,0,1,0,0.28125,"Blaze Alexander","23789",677942
"Parker Meadows","DET","ST",26,15,40,46,7,5,2,0,0,4,2,6,0,12,0,0,0,1,2,0,0.175,"Parker Meadows","23800",678009
"Jorge Barrosa","ARI","ST",25,13,37,41,12,5,3,2,2,9,8,4,0,7,0,0,0,1,0,0,0.324324324,"Jorge Barrosa","23968",678489
"Liover Peguero","PHI","ST",25,15,37,39,5,3,2,0,0,3,4,2,0,12,0,0,0,1,0,0,0.135135135,"Liover Peguero","24273",678894
"Max Schuemann","NYY","ST",29,14,29,38,9,6,3,0,0,6,1,9,0,6,0,0,0,0,2,0,0.310344827,"Max Schuemann","24488",680474
"DaShawn Keirsey Jr.","ATL","ST",29,13,29,33,6,3,2,0,1,6,4,4,0,10,0,0,0,0,3,0,0.206896551,"DaShawn Keirsey Jr.","24496",680577
"Addison Barger","TOR","ST",26,15,36,41,10,4,3,0,3,5,12,5,0,9,0,0,0,0,0,0,0.277777777,"Addison Barger","24598",680718
"Steven Kwan","CLE","ST",28,14,36,42,9,3,2,2,2,8,5,5,0,4,1,0,0,0,0,0,0.25,"Steven Kwan","24610",680757
"Ryan Jeffers","MIN","ST",29,12,35,38,7,7,0,0,0,1,4,3,0,7,0,0,0,2,0,0,0.2,"Ryan Jeffers","24618",680777
"Ryan Fitzgerald","LAD","ST",32,18,30,34,10,5,4,1,0,8,7,4,0,7,0,0,0,0,0,0,0.333333333,"Ryan Fitzgerald","24622",680837
"Owen Miller","CHC","ST",29,15,28,33,7,4,3,0,0,3,6,3,0,7,0,2,0,1,2,0,0.25,"Owen Miller","24655",680911
"Brendan Donovan","SEA","ST",29,13,35,42,15,12,2,0,1,7,6,4,0,5,2,1,0,0,2,0,0.428571428,"Brendan Donovan","24679",680977
"Jonah Bride","TEX","ST",30,18,38,45,7,5,2,0,0,5,6,5,0,7,2,0,0,0,0,1,0.184210526,"Jonah Bride","24703",681146
