"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Semien, Marcus","543760","51","21.2",29.4,"106.3","86.7","97.8","91.9","73.2","407","209","407","20",39.2,"3",5.9,4.3
"Dubón, Mauricio","643289","51","16.2",37.3,"106.3","88.3","98.4","91.8","87.7","413","163","393","18",35.3,"4",7.8,6.1
"Marsee, Jakob","805300","51","20.8",29.4,"109","88.3","98.6","92.4","86.6","398","175",,"20",39.2,"1",2,1.2
"Tatis Jr., Fernando","665487","51","4.8",37.3,"113.5","95.2","106.3","100.2","91.6","370","156",,"37",72.5,"7",13.7,9.1
"Story, Trevor","596115","51","10.8",37.3,"109.6","88.2","98.4","92.4","84.2","402","154","402","20",39.2,"2",3.9,2.6
"Herrera, Iván","671056","51","3.8",31.4,"111.7","90","101.8","99","86.7","401","133","401","26",51,"3",5.9,3.8
"Abreu, Wilyer","677800","51","16.5",29.4,"113.1","91","103.4","95.6","88.1","388","183","372","26",51,"7",13.7,9.9
"Witt Jr., Bobby","677951","51","17.8",35.3,"115.6","93.4","104.7","97.1","95.3","373","178",,"28",54.9,"6",11.8,8.1
"Adames, Willy","642715","50","24.7",40,"105.7","88.4","98.9","94.1","80.4","402","206","375","20",40,"6",12,8.5
"O'Hearn, Ryan","656811","50","12",36,"108.1","89.4","99.7","93.8","84.2","402","175","387","22",44,"5",10,7
"Giménez, Andrés","665926","50","8.1",26,"108.9","86.8","97.7","90.2","85.6","406","155","386","15",30,"3",6,4.8
