Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bryan Ramos","BAL",0.37,1.50436,1.3509,0.2809,0.1874,0.0526,0.0031,0.0379,0.1492,0.1469,0.1181,0,0.3789,0.0196,0.0106,0.0052,,0.0265,0.0094,0.207935,0.0785051,0.251868,0.311692,0.279216,0.335702,0.272922,0.614918,0.127767,4.20822,0.257225,0,-0.000695667,0.128733,-0.0490183,73.994,-0.000695667,0,-0.04680591344367713,0.006000000052154064,0.00112543,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Bryan Ramos","25621",682868
"Nick Morabito","NYM",1.5,6.07272,5.4339,1.2564,0.9174,0.2339,0.0146,0.0904,0.6219,0.5347,0.4986,0,1.5785,0.0729,0.0435,0.0239,,0.2835,0.0857,0.231215,0.0821049,0.259933,0.315869,0.302187,0.329524,0.282215,0.631711,0.0983088,5.26049,0.306157,0,0.0117751,0.565481,-0.152057,82.2124,0.0117751,0,-0.11624992359429598,-0.07500000298023224,0.00111775,999,,,,,,,0.6,0.3,0.6,0.3,,,,,,,,,,,,,,,,,,,"Nick Morabito","sa3020418",703492
"Silas Ardoin","BAL",0.3,1.22103,1.0719,0.2026,0.1408,0.0399,0.0039,0.018,0.1109,0.0957,0.1245,0.0012,0.4012,0.011,0.0087,0.0048,,0.007,0.0022,0.18901,0.101963,0.328575,0.310319,0.27802,0.283888,0.255373,0.561908,0.0948782,3.71334,0.279105,0,-0.00131706,0.0870907,-0.0571834,61.9053,-0.00131706,0,-0.05614010337740183,0.02500000037252903,0.00111609,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Silas Ardoin","sa3019976",686976
"Elih Marrero","KCR",0.25,1,0.9008,0.1895,0.1305,0.0436,0.0024,0.013,0.0932,0.0822,0.0791,0,0.2781,0.009,0.0072,0.0039,,0.0226,0.0074,0.210369,0.0791,0.2781,0.28443,0.278687,0.307393,0.262247,0.58608,0.0970249,4.74923,0.286108,0,0.000046446,0.0769061,-0.0412516,62.179,0.000046446,0,-0.04452997537009651,0.020999999716877937,0.00111594,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Elih Marrero","sa3007822",663503
"Kenny Piper","TBR",0.29,1.1646,1.0389,0.1907,0.1169,0.0407,0.0021,0.0309,0.1103,0.1084,0.0953,0,0.3777,0.0175,0.0083,0.0046,,0.0194,0.0056,0.18356,0.0818309,0.324318,0.252317,0.261638,0.315911,0.257697,0.577549,0.132352,4.3145,0.250235,0,0.0000702987,0.0852626,-0.0523435,61.1793,0.0000702987,0,-0.053215437903418206,0.024000000208616257,0.00111417,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Kenny Piper","sa3017664",700652
"Tommy Pham",,0.38,1.62475,1.438,0.3388,0.2327,0.064,0.0053,0.0368,0.1782,0.1567,0.1576,0.0065,0.3883,0.0114,0.0111,0.0067,,0.0242,0.0075,0.235605,0.0969995,0.238991,0.405872,0.313825,0.364256,0.298803,0.678081,0.128651,4.25624,0.294922,-0.003,-0.000840362,0.173176,-0.0188005,93.5759,-0.00384036,-0.008,-0.01621108199469745,-0.026999999769032,0.00111322,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Tommy Pham","2967",502054
"Jace Avina","NYY",0.25,1,0.8987,0.1877,0.1172,0.0412,0.0012,0.0281,0.1039,0.103,0.0762,0,0.3148,0.014,0.0072,0.0039,,0.0085,0.0027,0.208857,0.0762,0.3148,0.242058,0.278988,0.351174,0.278037,0.630162,0.142317,3.44547,0.283481,0,-0.000774884,0.0897264,-0.0284313,77.2014,-0.000774884,0,-0.027645684138406068,0.004000000189989805,0.0011041,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Jace Avina","sa3018398",701778
"Lucas Spence","HOU",0.25,1,0.8807,0.1846,0.1224,0.04,0.0033,0.0188,0.0998,0.0893,0.0962,0,0.296,0.012,0.0072,0.0039,,0.0187,0.0058,0.209606,0.0962,0.296,0.325,0.293946,0.326445,0.277888,0.620391,0.116839,4.77939,0.289304,0,-0.000157546,0.0896051,-0.0285526,76.5456,-0.000157546,0,-0.02780131647887174,0.004000000189989805,0.00108817,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Lucas Spence","sa3025371",828599
"Connor Hollis",,0.3,1.23651,1.1099,0.2533,0.1879,0.0493,0.0044,0.0117,0.1154,0.0994,0.0943,0,0.2711,0.0185,0.0089,0.0049,,0.0264,0.0092,0.228219,0.0762633,0.219247,0.347842,0.297256,0.31219,0.273549,0.609446,0.0839715,4.57958,0.288995,-0.001,-0.000472683,0.106441,-0.0396614,76.7135,-0.00147268,0,-0.03559938562102616,0.004999999888241291,0.00108111,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Connor Hollis","sa3007870",667442
"Peyton Graham","DET",0.25,1,0.8905,0.1922,0.1388,0.0397,0.0038,0.0099,0.0936,0.0787,0.0844,0,0.2524,0.014,0.0072,0.0039,,0.0286,0.0081,0.215834,0.0844,0.2524,0.33439,0.291738,0.302302,0.267889,0.59404,0.0864683,5.25814,0.286906,0,0.000836993,0.0814871,-0.0366706,68.8317,0.000836993,0,-0.035898501169867814,0.012000000104308128,0.00107823,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Peyton Graham","sa3019990",689931
