Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Juan Arnaud","NYM",0.0425,0.0558,0,5.39739,1,0,0,0,,1,4.701,1.0126,0.6416,0.59971,0.137111,0.7291,,0.0671,0.7435,6.6915,6.5619,1.01975,1.234,0.158158,0.155095,0.0030631721019744873,0.259322,1.7417,0.289495,0.709859,,,5.76494,-0.0170401,-0.0521787,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Juan Arnaud","sa3018294",699304
"Kevin Rodriguez",,0.0406,0.0578,0,5.71203,1,0,0,0,,1,4.706,1.1278,0.6796,0.63467,0.136556,0.6543,,0.0537,0.5663,5.0967,5.8887,0.865505,1.229,0.120336,0.139035,-0.0186995267868042,0.282091,1.7821,0.30082,0.692994,,,5.84752,-0.0170469,-0.0476734,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Kevin Rodriguez","sa3008683",682718
"Braylon Myers","CHC",0.042,0.0632,0.015,5.62257,0.7576,0.0516,0,0,,1,4.66,1.0726,0.6669,0.62473,0.146111,0.6605,,0.0469,0.6784,6.1056,5.9445,1.0271,1.315,0.145579,0.141738,0.003841191530227661,0.271366,1.7331,0.296184,0.697526,,,5.74574,-0.0170534,-0.0501736,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Braylon Myers","sa3076130",830742
"Cody Adcock","CIN",0.0398,0.0585,0,5.9787,1,0,0,0,,1,4.742,1.0556,0.7047,0.6643,0.169444,0.7351,,0.0604,0.7538,6.7842,6.6159,1.02544,1.525,0.158962,0.155019,0.003943488001823425,0.267478,1.7907,0.293113,0.699077,,,6.16257,-0.0170566,-0.0439122,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Cody Adcock","sa3023175",694832
"Tanner Cooper",,0.0404,0.058,0,5.80419,1,0,0,0,,1,4.66,1.1319,0.686,0.64491,0.157556,0.5898,,0.0442,0.5905,5.3145,5.3082,1.00119,1.418,0.126717,0.126567,0.00015021860599517822,0.281148,1.7217,0.297243,0.68995,,,5.85011,-0.0170757,-0.0476734,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Tanner Cooper","sa1170930",689461
"Hugo Beltran",,0.0406,0.0577,0,5.71437,1,0,0,0,,1,4.721,1.0968,0.6788,0.63493,0.137556,0.7005,,0.049,0.6332,5.6988,6.3045,0.903926,1.238,0.134124,0.14838,-0.01425546407699585,0.276168,1.7973,0.299694,0.697005,,,5.85121,-0.0170878,-0.0476734,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Hugo Beltran","sa3006354",678286
"Cade Halemanu",,0.0405,0.0615,0.0073,5.71185,0.8714,0.0274,0,0,,1,4.693,1.092,0.6772,0.63465,0.145778,0.6595,,0.0572,0.6371,5.7339,5.9355,0.966035,1.312,0.135755,0.140528,-0.004773080348968506,0.274627,1.7515,0.296304,0.694256,,,5.8519,-0.0170955,-0.0476734,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Cade Halemanu","sa3020328",702118
"Cade Citelli","TBR",0.0394,0.0589,0,5.82417,1,0,0,0,,1,4.708,1.0534,0.6867,0.64713,0.159,0.6965,,0.0558,0.7188,6.4692,6.2685,1.03202,1.431,0.152676,0.14794,0.004736617207527161,0.266299,1.7499,0.290588,0.69613,,,5.96719,-0.0171099,-0.0463155,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Cade Citelli","sa3028952",699530
"Luis Amoroso","COL",0.037,0.0613,0,6.61707,1,0,0,0,,1,4.76,1.2656,0.779,0.73523,0.170667,0.5707,,0.057,0.5018,4.5162,5.1363,0.879271,1.536,0.10542,0.119895,-0.014474786818027496,0.30627,1.8363,0.31647,0.661902,,,6.17906,-0.0171109,-0.0367388,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Luis Amoroso","sa3005889",681730
"Henson Leal","KCR",0.0402,0.0582,0,5.92128,1,0,0,0,,1,4.699,1.1445,0.7004,0.65792,0.149444,0.6142,,0.0584,0.5847,5.2623,5.5278,0.95197,1.345,0.124431,0.130709,-0.006277933716773987,0.284249,1.7587,0.302241,0.683004,,,5.87207,-0.0171355,-0.0440561,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Henson Leal","sa3019175",802088
"Bjorn Johnson","MIL",0.0414,0.0569,0,5.47326,1,0,0,0,,1,4.713,1.0666,0.652,0.60814,0.135333,0.7286,,0.044,0.6486,5.8374,6.5574,0.8902,1.218,0.137619,0.154594,-0.016974344849586487,0.270683,1.7952,0.295035,0.711949,,,5.86083,-0.0171416,-0.0492233,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Bjorn Johnson","sa3023617",807723
"Eliseo Mota","DET",0.0405,0.0578,0,5.61303,1,0,0,0,,1,4.724,1.0868,0.6676,0.62367,0.132556,0.6917,,0.0576,0.6107,5.4963,6.2253,0.882897,1.193,0.129276,0.146423,-0.017146483063697815,0.273429,1.7785,0.2953,0.697398,,,5.83062,-0.0171423,-0.0472942,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Eliseo Mota","sa3019718",803252
"PJ Poulin","WSN",1.3461,1.4743,0,4.17942,28.679,0,0,0.4026,,28.679,126.395,27.5996,14.439,13.318,3.25347,13.9268,,1.3853,25.3036,7.94074,4.37049,1.8169,1.021,0.200195,0.110185,0.090009905397892,0.248459,1.44797,0.295012,0.732655,,,4.3928,-0.0171548,0.0879733,999,,,,,,,109.90000000000002,3.7896551724137937,111,3.8275862068965516,,,,,,,,,,,,,,,,,,,"PJ Poulin","23394",676571
"Nathan Landry",,0.0413,0.057,0,5.57451,1,0,0,0,,1,4.688,1.0637,0.6593,0.61939,0.149,0.6695,,0.0559,0.6672,6.0048,6.0255,0.996565,1.341,0.142321,0.142811,-0.0004906207323074341,0.268435,1.7332,0.290713,0.704381,,,5.85969,-0.0171817,-0.0476734,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Nathan Landry","sa3020485",806278
