team,player_name,section,fg_id,mlb_id
braves,Jorge Mateo,Projected Bench,17273,622761
braves,José Suarez,Projected Bullpen,19911,660761
braves,Matt Olson,Starting Lineup,14344,621566
braves,Mauricio Dubón,Starting Lineup,16530,643289
braves,Michael Harris II,Starting Lineup,25931,671739
braves,Mike Yastrzemski,Starting Lineup,14854,573262
braves,Ozzie Albies,Starting Lineup,16556,645277
braves,Raisel Iglesias,Projected Bullpen,17130,628452
braves,Reynaldo López,Projected Starting Rotation,16400,625643
braves,Robert Suarez,Projected Bullpen,30115,663158
braves,Ronald Acuña Jr.,Starting Lineup,18401,660670
braves,Spencer Strider,Projected Starting Rotation,27498,675911
braves,Tyler Kinley,Projected Bullpen,18297,641755
brewers,Aaron Ashby,Projected Bullpen,23550,676879
brewers,Abner Uribe,Projected Bullpen,25327,682842
brewers,Andrew Vaughn,Starting Lineup,26197,683734
brewers,Angel Zerpa,Projected Bullpen,22717,672582
brewers,Blake Perkins,Projected Bench,19921,663368
brewers,Brandon Sproat,Projected Starting Rotation,33850,687075
brewers,Brandon Woodruff,Projected Starting Rotation,16162,605540
brewers,Brice Turang,Starting Lineup,22186,668930
brewers,Chad Patrick,Projected Starting Rotation,30113,694477
brewers,Christian Yelich,Starting Lineup,11477,592885
brewers,David Hamilton,Projected Bench,27531,666152
brewers,DL Hall,Projected Bullpen,22207,669084
brewers,Garrett Mitchell,Starting Lineup,27555,669003
brewers,Gary Sánchez,Projected Bench,11442,596142
brewers,Grant Anderson,Projected Bullpen,20546,681982
brewers,Jackson Chourio,Starting Lineup,28806,694192
brewers,Jacob Misiorowski,Projected Starting Rotation,31623,694819
brewers,Jake Bauers,Projected Bench,15194,641343
brewers,Jared Koenig,Projected Bullpen,27517,657649
brewers,Joey Ortiz,Starting Lineup,25493,687401
brewers,Kyle Harrison,Projected Starting Rotation,27758,690986
brewers,Luis Rengifo,Starting Lineup,19858,650859
brewers,Rob Zastryzny,Projected Bullpen,15094,
brewers,Sal Frelick,Starting Lineup,29622,686217
brewers,Trevor Megill,Projected Bullpen,17722,656730
brewers,William Contreras,Starting Lineup,20503,661388
cardinals,Alec Burleson,Starting Lineup,27615,676475
cardinals,Andre Pallante,Projected Starting Rotation,26108,669467
cardinals,Dustin May,Projected Starting Rotation,19716,669160
cardinals,George Soriano,Projected Bullpen,21863,666277
cardinals,Gordon Graceffo,Projected Bullpen,29519,700669
cardinals,Iván Herrera,Starting Lineup,20599,671056
