rank,name,tier_num,tier_name,hand,team,mlbid
87,Tyler Mahle,16,Toby Upside 3,RHP,SFG,641816
88,Max Scherzer,16,Toby Upside 3,RHP,FA,453286
89,Quinn Priester,16,Toby Upside 3,RHP,MIL,682990
90,Ryan Weiss,16,Toby Upside 3,RHP,HOU,680802
91,Shane Smith,16,Toby Upside 3,RHP,CHW,681343
92,Jack Leiter,17,Late Upside,RHP,TEX,683004
93,Cristian Javier,17,Late Upside,RHP,HOU,664299
94,Zebby Matthews,17,Late Upside,RHP,MIN,805673
95,Mike Burrows,17,Late Upside,RHP,HOU,681347
96,Grant Holmes,17,Late Upside,RHP,ATL,656550
97,Grayson Rodriguez,17,Late Upside,RHP,LAA,680570
98,Spencer Arrighetti,17,Late Upside,RHP,HOU,681293
99,Jacob Lopez,17,Late Upside,LHP,ATH,682052
100,Will Warren,17,Late Upside,RHP,NYY,701542
101,Reid Detmers,17,Late Upside,LHP,LAA,672282
102,Reynaldo López,17,Late Upside,RHP,ATL,625643
103,Roki Sasaki,18,Possible Job Upside,RHP,LAD,808963
104,Jacob Latz,18,Possible Job Upside,LHP,TEX,656641
105,Justin Wrobleski,18,Possible Job Upside,LHP,LAD,680736
106,Kyle Harrison,18,Possible Job Upside,LHP,MIL,690986
107,Mick Abel,18,Possible Job Upside,RHP,MIN,690953
108,Parker Messick,18,Possible Job Upside,LHP,CLE,800048
109,Ben Casparius,18,Possible Job Upside,RHP,LAD,676508
110,Lucas Giolito,18,Possible Job Upside,RHP,FA,608337
111,Troy Melton,19,Dope But No Job,RHP,DET,675512
112,Connelly Early,19,Dope But No Job,LHP,BOS,813349
113,Payton Tolle,19,Dope But No Job,LHP,BOS,801139
114,Carson Whisenhunt,19,Dope But No Job,LHP,SFG,687931
115,Brandon Sproat,19,Dope But No Job,RHP,MIL,687075
116,Luis Gil,20,Late Upside 2,RHP,NYY,661563
117,Simeon Woods Richardson,20,Late Upside 2,RHP,MIN,680573
118,Sean Manaea,20,Late Upside 2,LHP,NYM,640455
119,Cade Cavalli,20,Late Upside 2,RHP,WAS,676917
120,Johan Oviedo,20,Late Upside 2,RHP,BOS,670912
121,José Soriano,20,Late Upside 2,RHP,LAA,667755
122,Joey Wentz,20,Late Upside 2,LHP,ATL,666214
123,Connor Prielipp,21,Potenital 2026 Stud Prospect,LHP,MIN,687570
124,Thomas White,21,Potenital 2026 Stud Prospect,LHP,MIA,806258
125,Gage Jump,21,Potenital 2026 Stud Prospect,LHP,ATH,695611
126,Jaxon Wiggins,21,Potenital 2026 Stud Prospect,RHP,CHC,694393
127,Hagen Smith,21,Potenital 2026 Stud Prospect,LHP,CHW,696146
128,Noah Schultz,21,Potenital 2026 Stud Prospect,LHP,CHW,702273
129,Brody Hopkins,21,Potenital 2026 Stud Prospect,RHP,TBR,811315
130,Luis Perales,21,Potenital 2026 Stud Prospect,RHP,WAS,691384
131,Daniel Espino,21,Potenital 2026 Stud Prospect,RHP,CLE,682982
132,Alex Clemmey,21,Potenital 2026 Stud Prospect,LHP,WAS,806046
133,Carlos Lagrange,21,Potenital 2026 Stud Prospect,RHP,NYY,801739
134,Yusei Kikuchi,22,Toby 15-Team,LHP,LAA,579328
135,Casey Mize,22,Toby 15-Team,RHP,DET,663554
136,Dustin May,22,Toby 15-Team,RHP,STL,669160
137,Justin Verlander,22,Toby 15-Team,RHP,DET,434378
138,Clay Holmes,22,Toby 15-Team,RHP,NYM,605280
139,David Peterson,22,Toby 15-Team,LHP,NYM,656849
140,Matthew Liberatore,22,Toby 15-Team,LHP,STL,669461
141,Slade Cecconi,22,Toby 15-Team,RHP,CLE,677944
142,Brady Singer,22,Toby 15-Team,RHP,CIN,663903
143,Brandon Pfaadt,22,Toby 15-Team,RHP,ARI,694297
144,Mitch Keller,22,Toby 15-Team,RHP,PIT,656605
145,Jameson Taillon,22,Toby 15-Team,RHP,CHC,592791
146,Eduardo Rodriguez,22,Toby 15-Team,LHP,ARI,593958
147,Michael Wacha,22,Toby 15-Team,RHP,KCR,608379
148,Nick Martinez,22,Toby 15-Team,RHP,TBR,607259
149,Luis Severino,22,Toby 15-Team,RHP,ATH,622663
150,Corbin Burnes,23,Injury Stash 2,RHP,ARI,669203
151,Justin Steele,23,Injury Stash 2,LHP,CHC,657006
152,Clarke Schmidt,23,Injury Stash 2,RHP,NYY,657376
153,Jackson Jobe,23,Injury Stash 2,RHP,DET,695549
154,Hurston Waldrep,23,Injury Stash 2,RHP,ATL,694462
155,Kyle Leahy,24,Potential Pickups If Things Go Right,RHP,STL,681517
156,Triston McKenzie,24,Potential Pickups If Things Go Right,RHP,SDP,663474
157,Ian Seymour,24,Potential Pickups If Things Go Right,LHP,TBR,693855
158,Rhett Lowder,24,Potential Pickups If Things Go Right,RHP,CIN,695076
159,Joe Rock,24,Potential Pickups If Things Go Right,LHP,TBR,697812
160,Tyler Wells,24,Potential Pickups If Things Go Right,RHP,BAL,669330
161,Jonah Tong,24,Potential Pickups If Things Go Right,RHP,NYM,804636
162,Cade Povich,24,Potential Pickups If Things Go Right,LHP,BAL,700249
163,Alan Rangel,24,Potential Pickups If Things Go Right,RHP,PHI,660604
164,Alek Manoah,24,Potential Pickups If Things Go Right,RHP,LAA,666201
165,Braxton Garrett,24,Potential Pickups If Things Go Right,LHP,MIA,666129
166,Max Meyer,24,Potential Pickups If Things Go Right,RHP,MIA,676974
167,Richard Fitts,24,Potential Pickups If Things Go Right,RHP,STL,690916
168,Hunter Dobbins,24,Potential Pickups If Things Go Right,RHP,STL,690928
169,AJ Blubaugh,24,Potential Pickups If Things Go Right,LHP,HOU,805123
170,Quinn Mathews,25,Spec Add 2026 Prospect,LHP,STL,687273
