Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Bryan Baker","TBR","ST",31,0,0,9,6,0,0,0,0,0,1,6,31,12,6,6,1,1,0,0,0,0,7,"Bryan Baker","19804",641329
"Michael King","SDP","ST",31,0,2,10.188677411947177,5,5,0,0,0,0,0,17.2,84,26,20,20,9,7,0,1,0,0,17,"Michael King","19853",650633
"Kevin Ginkel","ARI","ST",32,0,0,11.812507040802862,7,0,0,0,0,0,0,5.1,33,14,9,7,2,1,0,0,0,0,5,"Kevin Ginkel","19876",656464
"Alex Lange","KCR","ST",30,1,0,5.142857142857143,7,0,0,0,0,0,1,7,32,5,5,4,0,5,0,0,0,0,9,"Alex Lange","19883",656638
"Corbin Martin","CHC","ST",30,0,0,8.09999613762086,7,0,0,0,0,1,1,6.2,31,7,6,6,1,5,0,0,0,0,8,"Corbin Martin","19884",656686
"Ryder Ryan","LAD","ST",31,2,1,3.8571418061551213,7,2,0,0,1,1,0,11.2,45,9,5,5,1,4,0,1,1,0,11,"Ryder Ryan","19891",656924
"José Suarez","ATL","ST",28,1,0,4.218748742714899,4,1,0,0,0,0,1,10.2,46,9,5,5,2,6,0,0,0,0,8,"Jose Suarez","19911",660761
"Tony Santillan","CIN","ST",29,1,0,7.94117201571071,6,0,0,0,0,1,1,5.2,29,8,5,5,2,4,0,1,0,0,9,"Tony Santillan","19926",663574
"Jesús Luzardo","PHI","ST",28,3,0,2.314285083693073,3,3,0,0,0,0,0,11.2,47,12,3,3,1,2,0,0,0,1,13,"Jesus Luzardo","19959",666200
"Joey Wentz","ATL","ST",28,1,0,3.176468806284284,3,0,0,0,0,0,1,5.2,24,3,2,2,0,4,0,1,0,0,6,"Joey Wentz","19962",666214
"Tyson Miller","CHW","ST",30,0,1,6.749996781350717,7,0,0,0,0,2,1,6.2,34,7,5,5,2,5,0,2,0,0,6,"Tyson Miller","19976",668338
"Bryse Wilson","PHI","ST",28,0,1,3.6,4,3,0,0,0,0,1,10,43,10,4,4,1,7,0,0,0,0,7,"Bryse Wilson","19990",669060
"Joel Kuhnel","ATH","ST",31,0,1,1.8620683531700815,8,0,0,0,0,0,1,9.2,43,15,6,2,2,1,0,0,0,0,10,"Joel Kuhnel","19995",669270
"Tyler Wells","BAL","ST",31,0,1,5.399997425080573,6,1,0,0,0,0,0,6.2,27,5,4,4,1,1,0,1,0,0,9,"Tyler Wells","20000",669330
"John Schreiber","KCR","ST",32,0,2,9,6,0,0,0,0,2,1,6,28,9,7,6,1,2,0,1,0,0,6,"John Schreiber","20020",670167
"Darren McCaughan","CIN","ST",30,0,0,1.588234403142142,5,0,0,0,1,0,2,5.2,22,4,1,1,1,2,0,1,1,0,6,"Darren McCaughan","20038",670766
"Adrian Morejon","SDP","ST",27,0,0,3.857142857142857,6,0,0,0,0,0,1,7,29,8,3,3,0,1,0,0,1,0,11,"Adrian Morejon","20039",670970
"Sean Guenther","DET","ST",30,0,0,0,7,0,0,0,0,0,0,7.2,29,5,0,0,0,2,0,0,0,0,5,"Sean Guenther","20045",674944
"Bailey Falter","KCR","ST",29,0,1,5.586205059510244,4,3,0,0,0,0,0,9.2,41,13,6,6,1,1,0,0,1,0,8,"Bailey Falter","20070",663559
"Chris Paddack","MIA","ST",30,1,0,0,4,4,0,0,0,0,0,9,34,5,1,0,0,3,0,1,0,0,9,"Chris Paddack","20099",663978
"Zach Pop","PHI","ST",29,0,1,4.320001647949847,8,0,0,0,0,0,3,8.1,33,7,4,4,0,2,0,0,0,0,8,"Zach Pop","20185",647315
"Eli Morgan","KCR","ST",30,0,0,0.9310341765850407,8,0,0,0,0,0,0,9.2,39,7,1,1,0,4,0,0,0,0,12,"Eli Morgan","20203",669212
"David Peterson","NYM","ST",30,1,0,5.625,2,2,0,0,0,0,0,8,34,7,5,5,1,2,0,0,0,0,5,"David Peterson","20302",656849
"Zack Kelly","BOS","ST",31,1,0,6.352937612568568,6,0,0,0,1,0,2,5.2,25,7,4,4,2,3,0,0,0,0,4,"Zack Kelly","20349",677161
"Tyler Zuber","MIA","ST",31,0,1,6,5,0,0,0,0,1,1,6,27,8,4,4,0,4,0,0,0,0,7,"Tyler Zuber","20379",676604
"Isaac Mattson","PIT","ST",30,2,0,0,6,0,0,0,0,0,1,6.1,22,2,0,0,0,1,0,0,0,0,7,"Isaac Mattson","20385",676755
"Anthony Kay","CHW","ST",31,3,0,2.204082061627848,5,5,0,0,0,0,0,16.1,66,13,4,4,3,6,0,1,0,0,15,"Anthony Kay","20387",641743
"Nick Margevicius","SFG","ST",30,1,1,5.25,5,0,0,0,0,0,1,12,52,18,8,7,0,1,0,0,0,0,6,"Nick Margevicius","20395",676606
"Josh Fleming","TOR","ST",30,1,1,4.695650226903904,6,1,0,0,0,0,0,7.2,31,9,4,4,1,3,0,0,0,0,6,"Josh Fleming","20418",676596
"Ryan Walker","SFG","ST",30,0,0,0,6,0,0,0,0,0,1,6,22,3,0,0,0,0,0,1,0,0,7,"Ryan Walker","20423",676254
"Bryan Sammons","DET","ST",31,1,1,8.09999613762086,3,1,0,0,0,1,0,6.2,31,6,6,6,1,4,0,1,0,0,3,"Bryan Sammons","20462",676614
"Huascar Ynoa","LAA","ST",28,0,0,3.857142857142857,6,0,0,0,0,0,1,7,30,7,3,3,1,2,0,0,0,0,6,"Huascar Ynoa","20468",660623
"Casey Mize","DET","ST",29,0,3,7.043479721127328,5,4,0,0,0,0,0,15.1,75,18,15,12,3,10,0,3,2,0,12,"Casey Mize","20492",663554
"Grant Anderson","MIL","ST",29,0,1,2.8421066897074496,6,0,0,0,0,0,1,6.1,28,3,3,2,1,4,0,1,0,0,3,"Grant Anderson","20546",681982
"Tyler Phillips","MIA","ST",28,1,1,1.2857142857142858,5,2,0,0,0,0,1,7,31,8,5,1,0,4,0,0,1,0,7,"Tyler Phillips","20629",663969
"Michael Petersen","MIA","ST",32,0,1,3.521737670177928,6,0,0,0,0,0,4,7.2,31,8,3,3,1,1,0,1,1,0,6,"Michael Petersen","20827",656848
"Jhoan Duran","PHI","ST",28,0,0,0,5,0,0,0,0,0,1,5,17,2,0,0,0,0,0,0,0,0,6,"Jhoan Duran","21029",661395
"Seth Martinez","BOS","ST",31,2,0,7.269228102893791,7,0,0,0,0,2,1,8.2,41,11,7,7,1,4,0,2,1,0,5,"Seth Martinez","21045",661527
"Luis Gil","NYY","ST",28,2,1,6.279071160043929,5,5,0,0,0,0,0,14.1,65,19,11,10,6,4,0,0,0,1,17,"Luis Gil","21052",661563
"Brooks Kriske","ATH","ST",32,0,0,4.695650226903904,7,0,0,0,0,0,0,7.2,33,6,4,4,1,5,0,0,1,0,7,"Brooks Kriske","21189",621139
"Connor Brogdon","CLE","ST",31,1,0,2.8928581281587493,9,0,0,0,0,0,1,9.1,41,9,3,3,1,2,0,2,0,0,11,"Connor Brogdon","21205",641401
"J.P. France","HOU","ST",31,0,1,3.8571418061551213,5,1,0,0,0,1,1,11.2,46,8,5,5,1,3,0,0,1,0,13,"J.P. France","21212",641585
"Bailey Ober","MIN","ST",30,0,1,2.076922315112512,3,3,0,0,0,0,0,8.2,35,7,2,2,1,3,0,1,0,0,3,"Bailey Ober","21224",641927
"Jake Bird","NYY","ST",30,0,0,3,9,0,0,0,0,1,2,9,38,7,4,3,0,5,0,0,0,0,14,"Jake Bird","21267",656234
"Jacob Latz","TEX","ST",30,1,1,8.217393007981883,5,5,0,0,0,0,0,15.1,72,18,16,14,3,8,0,0,1,0,15,"Jacob Latz","21306",656641
"Parker Mushinski","COL","ST",30,2,1,9.391300453807808,7,0,0,0,0,0,1,7.2,36,9,8,8,1,4,0,0,0,0,11,"Parker Mushinski","21324",656786
"Peter Strzelecki","MIL","ST",31,0,0,3,6,0,0,0,0,0,1,6,22,3,2,2,1,0,0,1,0,0,5,"Peter Strzelecki","21367",657265
"Joe Ryan","MIN","ST",30,1,0,1.2857142857142858,2,2,0,0,0,0,0,7,31,7,1,1,0,3,0,0,0,0,6,"Joe Ryan","21390",657746
"Yerry De los Santos","NYY","ST",28,0,0,0,5,0,0,0,0,0,1,6.1,23,4,0,0,0,2,0,0,0,0,3,"Yerry De los Santos","21420",660787
"Ryan Feltner","COL","ST",29,0,2,10.028568696003315,5,2,0,0,0,0,2,11.2,58,14,13,13,1,10,0,0,1,0,14,"Ryan Feltner","21446",663372
"Davis Martin","CHW","ST",29,2,1,3.239999382019161,5,4,0,0,0,0,0,16.2,66,9,6,6,1,8,0,1,1,0,13,"Davis Martin","21448",663436
"Konnor Pilkington","DET","ST",28,0,0,3.6818197778440727,7,0,0,0,0,0,2,7.1,31,9,3,3,3,0,0,0,0,0,8,"Konnor Pilkington","21453",663455
"Kris Bubic","KCR","ST",28,1,0,0.75,4,4,0,0,0,0,0,12,51,10,2,1,0,6,0,0,2,0,14,"Kris Bubic","21455",663460
"Cole Sands","MIN","ST",28,0,0,5.142857142857143,7,0,0,0,0,1,0,7,28,5,4,4,2,2,0,0,0,0,6,"Cole Sands","21461",663485
"Shane McClanahan","TBR","ST",29,2,0,3.375,3,3,0,0,0,0,0,8,31,5,3,3,1,3,0,0,0,0,11,"Shane McClanahan","21483",663556
"Jake Irvin","WSN","ST",29,2,0,1.3500003218651586,4,4,0,0,0,0,0,13.1,53,10,2,2,1,4,0,0,0,0,15,"Jake Irvin","21504",663623
"Hogan Harris","ATH","ST",29,0,0,1.2272732592813576,7,0,0,0,0,1,1,7.1,28,4,1,1,1,3,0,0,0,0,11,"Hogan Harris","21520",663687
"Daniel Lynch IV","KCR","ST",29,1,0,2.347825113451952,7,0,0,0,0,0,1,7.2,32,5,2,2,1,4,0,0,0,0,9,"Daniel Lynch IV","21537",663738
"Chase Shugart","PHI","ST",29,0,0,3.375,7,0,0,0,0,0,1,8,37,6,4,3,0,5,0,1,0,0,6,"Chase Shugart","21544",663767
"Justin Hagenman","NYM","ST",29,0,0,5.400002059937309,3,2,0,0,0,0,1,8.1,38,9,5,5,2,3,0,1,0,0,11,"Justin Hagenman","21546",663795
"Jackson Kowar","BAL","ST",29,1,1,1.8,5,0,0,0,1,0,0,5,25,5,3,1,0,3,0,1,1,0,3,"Jackson Kowar","21549",663804
"Brendon Little","TOR","ST",29,0,0,0,6,0,0,0,0,0,1,6,27,4,0,0,0,4,0,0,0,0,11,"Brendon Little","21574",663893
"Tristan Beck","SFG","ST",30,0,0,4.263160034561174,5,0,0,0,0,1,2,6.1,27,6,3,3,1,3,0,1,0,0,4,"Tristan Beck","21584",663941
"Grant Wolfram","BAL","ST",29,0,0,0,6,0,0,0,0,0,1,6,22,3,0,0,0,1,0,0,0,0,10,"Grant Wolfram","21623",664991
"Luis Medina","ATH","ST",27,0,0,6.75000402331592,5,0,0,0,0,0,0,5.1,26,5,4,4,0,5,0,0,1,0,2,"Luis Medina","21649",665622
"Kervin Castro","NYY","ST",27,0,0,2.7,8,0,0,0,2,0,2,10,40,8,4,3,0,3,0,1,0,0,6,"Kervin Castro","21656",665645
"Edward Cabrera","CHC","ST",28,2,0,6.352942958423098,4,4,0,0,0,0,0,11.1,50,13,9,8,2,2,0,0,0,0,12,"Edward Cabrera","21690",665795
"Cole Ragans","KCR","ST",28,0,0,8.437497485429798,4,3,0,0,0,0,0,10.2,50,14,10,10,2,3,0,2,2,0,15,"Cole Ragans","21846",666142
"George Soriano","STL","ST",27,0,0,0,7,0,0,0,0,0,3,7,26,6,1,0,0,0,0,0,1,0,9,"George Soriano","21863",666277
"Juan Morillo","ARI","ST",27,0,0,0,7,0,0,0,0,0,3,7.1,26,4,0,0,0,2,0,0,0,0,8,"Juan Morillo","21924",666661
"John King","MIA","ST",31,0,0,1.2857142857142858,7,0,0,0,0,1,2,7,28,4,1,1,0,3,0,2,0,0,8,"John King","22051",667463
"José Soriano","LAA","ST",27,0,1,7.269228102893791,3,3,0,0,0,0,0,8.2,38,9,7,7,0,3,0,1,0,0,10,"Jose Soriano","22100",667755
"Cole Winn","TEX","ST",26,0,0,4.5,7,0,0,0,0,0,1,8,32,7,4,4,0,0,0,1,2,0,7,"Cole Winn","22113",668390
"Hagen Danner","CIN","ST",27,0,1,3.1153834726687677,9,0,0,0,0,0,3,8.2,35,6,3,3,1,3,0,0,0,0,10,"Hagen Danner","22116",668470
"Easton McGee","MIL","ST",28,0,0,3.2400012359623855,6,1,0,0,0,0,1,8.1,32,5,3,3,1,1,0,1,0,0,10,"Easton McGee","22176",668834
"Tobias Myers","NYM","ST",27,1,1,1.8620683531700815,4,1,0,0,0,0,1,9.2,39,7,2,2,0,4,0,0,0,0,12,"Tobias Myers","22191",668964
"Ryan Rolison","CHC","ST",28,0,1,11.812507040802862,6,0,0,0,0,0,3,5.1,29,9,7,7,1,4,0,0,2,0,5,"Ryan Rolison","22200",669020
"MacKenzie Gore","TEX","ST",27,1,0,7.593747736886818,4,4,0,0,0,0,0,10.2,51,14,9,9,0,6,0,2,2,0,6,"MacKenzie Gore","22201",669022
"DL Hall","MIL","ST",27,0,1,2.25,5,1,0,0,0,0,1,8,34,8,2,2,0,3,0,0,3,1,7,"DL Hall","22207",669084
"Jeremiah Estrada","SDP","ST",27,2,0,0,8,0,0,0,0,0,1,8.2,34,1,0,0,0,6,0,0,0,0,15,"Jeremiah Estrada","22210",669093
"Logan Gilbert","SEA","ST",29,0,1,2.382353609408662,4,4,0,0,0,0,0,11.1,52,11,3,3,1,6,0,2,0,0,12,"Logan Gilbert","22250",669302
"Shane Baz","BAL","ST",27,0,1,5.06250301748694,2,2,0,0,0,0,0,5.1,23,2,3,3,0,4,0,0,1,0,9,"Shane Baz","22264",669358
"Tarik Skubal","DET","ST",29,1,0,2.793102529755122,3,3,0,0,0,0,0,9.2,37,9,3,3,1,1,0,0,0,0,12,"Tarik Skubal","22267",669373
"Trevor Rogers","BAL","ST",28,1,0,2.511628464017572,4,4,0,0,0,0,0,14.1,59,13,4,4,1,1,0,2,0,0,16,"Trevor Rogers","22286",669432
"Mason Englert","TBR","ST",26,0,0,0,4,1,0,0,0,0,0,7.1,30,9,2,0,0,1,0,0,1,0,4,"Mason Englert","22288",669438
"Matthew Liberatore","STL","ST",26,0,0,2.7,3,3,0,0,0,0,0,10,40,9,3,3,1,1,0,0,0,0,14,"Matthew Liberatore","22294",669461
"Colin Holderman","CLE","ST",30,1,1,9,8,0,0,0,0,1,0,8,37,8,8,8,1,4,0,0,1,0,8,"Colin Holderman","22361",670059
"Logan Gillaspie","SDP","ST",29,1,0,7.838712088896256,4,1,0,0,0,0,0,10.1,49,14,9,9,5,5,0,0,0,0,9,"Logan Gillaspie","22461",670810
"Johan Oviedo","BOS","ST",28,1,0,1.5882357396057745,4,4,0,0,0,0,0,11.1,47,8,2,2,0,6,0,1,1,0,14,"Johan Oviedo","22487",670912
"Taj Bradley","MIN","ST",25,1,1,4.5,4,4,0,0,0,0,0,14,59,15,7,7,2,5,0,0,0,0,19,"Taj Bradley","22543",671737
"Keider Montero","DET","ST",25,0,1,9,2,2,0,0,0,0,0,5,21,8,5,5,2,1,0,0,0,0,2,"Keider Montero","22630",672456
"Yoendrys Gómez","TBR","ST",26,0,1,4.5,7,0,0,0,0,0,3,8,38,7,5,4,2,5,0,2,1,0,7,"Yoendrys Gomez","22872",672782
"Carlos Vargas","SEA","ST",26,0,2,9,7,0,0,0,0,1,1,6,29,10,6,6,1,2,0,0,1,0,3,"Carlos Vargas","22915",672841
"Osvaldo Bido","NYY","ST",30,1,0,1.5,6,0,0,0,0,0,0,6,24,5,1,1,0,2,0,0,0,0,6,"Osvaldo Bido","23150",674370
"Steven Cruz","KCR","ST",27,0,0,1.588234403142142,5,0,0,0,0,0,0,5.2,23,3,1,1,1,3,0,0,0,0,7,"Steven Cruz","23165",674444
"Michael Plassmeyer","TOR","ST",29,1,1,3.37500201165796,6,0,0,0,0,1,2,5.1,24,9,2,2,0,0,0,0,1,0,6,"Michael Plassmeyer","23191",674681
"Packy Naughton","STL","ST",30,0,0,1.5,6,0,0,0,0,1,0,6,21,3,1,1,1,0,0,0,0,0,8,"Packy Naughton","23292",676050
"Codi Heuer","CLE","ST",29,0,1,10.285714285714286,8,0,0,0,0,1,2,7,35,9,8,8,1,5,0,0,2,0,8,"Codi Heuer","23293",676051
"Janson Junk","MIA","ST",30,0,2,9,3,1,0,0,0,0,0,5,23,7,5,5,2,2,0,0,1,0,6,"Janson Junk","23301",676083
"Collin Snider","CHC","ST",30,0,0,5.142857142857143,7,0,0,0,0,0,2,7,29,6,5,4,2,2,0,0,0,0,10,"Collin Snider","23307",676092
"Joey Cantillo","CLE","ST",26,0,2,7.2,5,5,0,0,0,0,0,15,67,17,14,12,3,4,0,0,1,1,15,"Joey Cantillo","23335",676282
"Robert Garcia","TEX","ST",30,0,0,3.6,5,0,0,0,0,0,2,5,19,3,3,2,0,0,0,0,0,0,8,"Robert Garcia","23363",676395
"Nolan Hoffman","PHI","ST",28,0,0,4.90909303712543,7,0,0,0,1,0,1,7.1,33,10,4,4,2,1,0,1,0,0,10,"Nolan Hoffman","23381",676510
"Ricky Vanasco","DET","ST",27,0,0,5.400002059937309,8,0,0,0,0,0,1,8.1,37,9,6,5,1,4,0,0,1,0,11,"Ricky Vanasco","23391",676568
"PJ Poulin","WSN","ST",29,1,0,0,6,0,0,0,1,0,2,5.2,22,1,0,0,0,3,0,0,0,0,6,"PJ Poulin","23394",676571
"JP Sears","SDP","ST",30,1,0,8.437497485429798,4,2,0,0,0,0,1,10.2,51,14,10,10,4,4,0,3,0,0,10,"JP Sears","23429",676664
"Tom Cosgrove","HOU","ST",30,1,0,2.347825113451952,7,0,0,0,0,0,2,7.2,28,3,2,2,1,2,0,2,0,0,5,"Tom Cosgrove","23443",676680
"Cam Sanders","PIT","ST",29,0,2,4.695650226903904,8,1,0,0,1,0,1,7.2,31,6,4,4,2,1,0,1,0,0,10,"Cam Sanders","23479",676742
"Keaton Winn","SFG","ST",28,0,0,6.136366296406788,7,0,0,0,0,0,2,7.1,31,6,5,5,1,5,0,0,0,0,6,"Keaton Winn","23499",676775
"Aaron Ashby","MIL","ST",28,1,0,1.3499993562701433,3,2,0,0,0,0,0,6.2,28,7,1,1,0,4,0,0,0,0,6,"Aaron Ashby","23550",676879
"Ben Brown","CHC","ST",26,1,1,3.0857134449240973,5,3,0,0,0,0,0,11.2,51,11,4,4,0,3,0,3,2,0,17,"Ben Brown","23590",676962
"Justin Bruihl","STL","ST",29,1,0,5.399997425080573,7,0,0,0,0,1,1,6.2,28,4,4,4,0,3,0,0,0,0,7,"Justin Bruihl","23779",677865
"Braxton Ashcraft","PIT","ST",26,1,0,2.0250004827977377,4,4,0,0,0,0,0,13.1,55,13,4,3,1,1,0,1,0,0,16,"Braxton Ashcraft","23793",677952
"Ryan Weathers","NYY","ST",26,1,3,11.6756786850797,4,4,0,0,0,0,0,12.1,64,23,17,16,3,3,0,2,0,0,17,"Ryan Weathers","23796",677960
"Randy Dobnak","SEA","ST",31,0,0,11.322584128405703,5,2,0,0,0,0,0,10.1,53,19,13,13,1,0,0,4,3,0,8,"Randy Dobnak","23798",677976
"Valente Bellozo","COL","ST",26,1,0,7.105261374709135,4,1,0,0,0,0,0,12.2,53,13,11,10,3,3,0,0,0,0,7,"Valente Bellozo","23899",678368
"Brayan Bello","BOS","ST",27,1,1,5.651164044039536,4,4,0,0,0,0,0,14.1,58,15,9,9,1,2,0,0,0,0,17,"Brayan Bello","23920",678394
"Jose A. Ferrer","SEA","ST",26,0,1,11.117640821994993,7,0,0,0,0,0,1,5.2,28,7,7,7,1,3,0,1,1,0,10,"Jose A. Ferrer","24017",678606
"Kai-Wei Teng","HOU","ST",27,0,0,2.793102529755122,5,1,0,0,0,1,1,9.2,39,3,3,3,2,6,0,1,0,0,7,"Kai-Wei Teng","24282",678906
"Grayson Rodriguez","LAA","ST",26,1,2,4.973682962296395,4,4,0,0,0,0,0,12.2,55,8,7,7,1,10,0,1,0,0,12,"Grayson Rodriguez","24492",680570
"Simeon Woods Richardson","MIN","ST",25,0,1,6.6,5,4,0,0,0,0,1,15,64,18,12,11,1,4,0,0,0,0,13,"Simeon Woods Richardson","24494",680573
"Lyon Richardson","CIN","ST",26,1,0,5.86956278362988,6,0,0,0,0,1,3,7.2,38,12,6,5,1,4,0,0,1,0,7,"Lyon Richardson","24581",680689
"Kyle Bradish","BAL","ST",29,1,0,3.6,3,3,0,0,0,0,0,10,40,8,4,4,0,2,0,0,0,0,9,"Kyle Bradish","24586",680694
"Drew Rom","MIL","ST",26,0,0,1.4210533448537248,5,0,0,0,0,0,1,6.1,26,3,1,1,1,6,0,0,1,0,7,"Drew Rom","24602",680723
"Jonathan Bowlan","PHI","ST",29,0,0,5.06250301748694,5,0,0,0,0,0,3,5.1,22,5,3,3,1,1,0,0,0,0,7,"Jonathan Bowlan","24607",680742
"Braydon Fisher","TOR","ST",25,0,0,1.588234403142142,6,0,0,0,0,0,1,5.2,24,4,1,1,1,2,0,0,0,0,8,"Braydon Fisher","24609",680755
"Luis Curvelo","TEX","ST",25,1,0,3,6,0,0,0,1,0,2,6,25,4,2,2,0,0,0,1,0,0,9,"Luis Curvelo","24710",681168
"Randy Vásquez","SDP","ST",27,0,1,4.153846153846154,4,4,0,0,0,0,0,13,54,9,6,6,0,5,0,1,0,0,11,"Randy Vasquez","24719",681190
"Mike Burrows","HOU","ST",26,1,0,0,4,4,0,0,0,0,0,12.2,49,6,0,0,0,6,0,0,0,0,15,"Mike Burrows","24728",681347
"Gus Varland","WSN","ST",29,1,1,5.400002059937309,7,0,0,0,3,0,1,8.1,36,7,5,5,1,4,0,0,0,0,11,"Gus Varland","24737",681402
"Kyle Leahy","STL","ST",29,1,1,4.584904835376229,5,5,0,0,0,0,0,17.2,70,14,9,9,3,5,0,0,3,0,20,"Kyle Leahy","24763",681517
"Ryan Fernandez","STL","ST",28,0,1,12,7,0,0,0,1,1,1,6,29,6,8,8,1,5,0,0,1,0,7,"Ryan Fernandez","24862",681676
"Lazaro Estrada","TOR","ST",27,2,0,4.5,5,1,0,0,0,0,0,10,40,11,5,5,3,2,0,0,0,0,3,"Lazaro Estrada","24914",681751
"Ethan Roberts","CHC","ST",28,1,0,1.5,6,0,0,0,0,0,2,6,22,3,1,1,1,2,0,0,0,0,4,"Ethan Roberts","24930",681799
"Andrew Wantz","TBR","ST",30,1,0,5.399997425080573,6,0,0,0,0,0,0,6.2,31,8,7,4,2,2,0,0,0,0,5,"Andrew Wantz","24933",681806
"Austin Warren","NYM","ST",30,0,0,1.8,5,0,0,0,0,1,0,5,20,4,1,1,0,2,0,0,0,0,5,"Austin Warren","24937",681810
"Cooper Criswell","SEA","ST",29,0,0,2.7000006437303172,5,3,0,0,0,0,1,13.1,54,12,5,4,1,2,0,1,0,0,15,"Cooper Criswell","24975",681867
"Shawn Dubin","ARI","ST",30,1,1,3.6,4,0,0,0,0,1,1,5,24,4,4,2,1,3,0,0,0,0,4,"Shawn Dubin","24977",681869
"Erik Sabrowski","CLE","ST",28,0,0,1.5,6,0,0,0,0,1,3,6,27,5,1,1,0,4,0,0,2,0,11,"Erik Sabrowski","24978",681870
"Kody Funderburk","MIN","ST",29,0,0,1.3499993562701433,6,1,0,0,0,0,0,6.2,32,10,1,1,0,2,0,0,0,0,7,"Kody Funderburk","24993",681892
"Evan Sisk","PIT","ST",29,0,0,3,6,0,0,0,2,0,2,6,26,3,2,2,0,6,0,0,0,0,7,"Evan Sisk","24995",681895
"Alex Vesia","LAD","ST",30,0,0,1.3499993562701433,8,0,0,0,0,0,2,6.2,23,3,1,1,0,2,0,0,0,0,7,"Alex Vesia","25007",681911
"Jacob Lopez","ATH","ST",28,1,0,4.5,2,2,0,0,0,0,0,6,22,3,3,3,1,2,0,0,0,0,8,"Jacob Lopez","25098",682052
"Tim Herrin","CLE","ST",29,1,0,2.25,8,0,0,0,0,0,3,8,34,6,2,2,0,4,0,1,0,0,11,"Tim Herrin","25139",682120
"Yaramil Hiraldo","BAL","ST",30,0,1,4.5,6,0,0,0,0,1,2,6,24,4,3,3,1,1,0,0,0,0,7,"Yaramil Hiraldo","25215",682274
"Roddery Muñoz","HOU","ST",26,1,1,2.1600008239749235,8,0,0,0,0,1,2,8.1,36,9,5,2,0,1,0,0,2,0,14,"Roddery Munoz","25311",682610
"Zach Penrod","WSN","ST",29,0,0,3.6,6,1,0,0,1,0,0,5,21,2,2,2,0,2,0,2,1,0,8,"Zach Penrod","25368",683068
"Nick Mears","KCR","ST",29,0,0,10.799994850161147,7,0,0,0,0,0,1,6.2,34,9,8,8,3,5,0,0,0,0,6,"Nick Mears","25376",683232
"Brady Singer","CIN","ST",29,1,0,3.5526306873545677,4,4,0,0,0,0,0,12.2,54,14,5,5,0,7,0,0,1,0,9,"Brady Singer","25377",663903
"Drew Rasmussen","TBR","ST",30,0,1,4.90908984507434,4,4,0,0,0,0,0,14.2,62,18,9,8,3,4,0,0,0,0,11,"Drew Rasmussen","25385",656876
"Ryan Zeferjahn","LAA","ST",28,0,0,3.2400012359623855,6,0,0,0,1,1,1,8.1,32,4,3,3,0,3,0,1,1,0,6,"Ryan Zeferjahn","25420",666171
"Gavin Hollowell","CHC","ST",28,1,0,2.5714285714285716,7,0,0,0,1,0,2,7,27,4,2,2,1,2,0,0,0,0,12,"Gavin Hollowell","25427",668970
"George Kirby","SEA","ST",28,0,0,5,3,3,0,0,0,0,0,9,42,11,5,5,1,3,0,1,0,0,7,"George Kirby","25436",669923
"Brandon Williamson","CIN","ST",28,1,0,1.6363636363636365,4,2,0,0,0,0,0,11,42,6,2,2,1,2,0,1,1,0,13,"Brandon Williamson","25463",682227
"Isaiah Campbell","ARI","ST",28,0,0,3.6,6,0,0,0,1,1,2,5,18,2,2,2,0,0,0,0,0,0,3,"Isaiah Campbell","25551",663462
"Brady Basso","ATH","ST",28,0,1,7.2,4,0,0,0,0,1,0,5,26,8,4,4,0,3,0,0,0,0,3,"Brady Basso","25582",669620
"Sammy Peralta","MIL","ST",28,0,1,7.5,6,0,0,0,0,0,0,6,32,12,6,5,1,1,0,1,0,0,3,"Sammy Peralta","25589",671111
"Luis Mey","CIN","ST",25,0,1,11.571428571428571,8,0,0,0,0,0,3,7,36,11,10,9,1,4,0,0,0,0,9,"Luis Mey","25620",682825
"Justin Slaten","BOS","ST",28,0,0,6.352937612568568,6,0,0,0,0,0,1,5.2,25,6,5,4,1,2,0,0,0,0,7,"Justin Slaten","25648",686580
"Kevin Kelly","TBR","ST",28,1,0,5.142857142857143,7,0,0,0,0,1,2,7,29,6,4,4,1,2,0,0,0,0,4,"Kevin Kelly","25679",687330
"Zak Kent","MIN","ST",28,0,0,4.7647032094264254,5,0,0,0,0,0,1,5.2,22,2,3,3,1,1,0,1,0,0,7,"Zak Kent","25703",687849
"Noah Davis","PIT","ST",29,0,2,7.902437186255761,4,2,0,0,0,0,1,13.2,62,15,12,12,5,2,0,5,1,1,12,"Noah Davis","25862",663562
"Hunter Brown","HOU","ST",27,0,0,1.038461157556256,3,3,0,0,0,0,0,8.2,31,2,1,1,0,4,0,0,0,0,14,"Hunter Brown","25880",686613
"Yennier Cano","BAL","ST",32,0,1,4.5,6,0,0,0,0,0,1,6,25,7,5,3,1,0,0,0,0,1,5,"Yennier Cano","25911",666974
"Casey Legumina","SEA","ST",29,0,0,3.521737670177928,7,0,0,0,0,0,2,7.2,30,6,3,3,1,2,0,0,0,0,6,"Casey Legumina","25921",668984
"Seth Johnson","PHI","ST",27,1,1,1.8620683531700815,8,1,0,0,0,1,2,9.2,41,6,2,2,2,7,0,0,0,0,8,"Seth Johnson","26020",686751
