Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Lucas Sims","CHW","ST",32,0,0,0,5,0,0,0,0,0,3,5,20,3,0,0,0,3,0,0,0,0,7,"Lucas Sims","13470",608371
"Matt Bowman","MIN","ST",35,0,0,0,5,0,0,0,0,0,0,5.1,22,5,1,0,0,2,0,0,0,0,6,"Matt Bowman","13528",621199
"Steven Okert","HOU","ST",34,0,1,5.399997425080573,8,0,0,0,0,0,2,6.2,30,7,4,4,1,4,0,0,0,0,5,"Steven Okert","13580",595345
"Carl Edwards Jr.","NYM","ST",34,0,1,2.076922315112512,3,1,0,0,0,0,0,8.2,34,3,3,2,0,4,0,0,0,1,11,"Carl Edwards Jr.","13607",605218
"Jakob Junis","TEX","ST",33,0,0,3,5,0,0,0,0,0,1,6,24,5,2,2,0,2,0,0,0,0,7,"Jakob Junis","13619",596001
"Clay Holmes","NYM","ST",33,0,1,2.842104549883654,3,2,0,0,0,0,0,12.2,47,6,4,4,1,3,0,1,0,0,13,"Clay Holmes","13649",605280
"Max Fried","NYY","ST",32,0,0,4.395349812030751,3,3,0,0,0,0,0,14.1,57,12,7,7,2,4,0,0,0,0,12,"Max Fried","13743",608331
"Matt Strahm","KCR","ST",34,0,0,3.37500201165796,6,0,0,0,0,1,2,5.1,25,8,2,2,0,2,0,0,0,0,3,"Matt Strahm","13799",621381
"Paul Sewald","ARI","ST",36,0,0,3,6,0,0,0,0,0,2,6,25,5,2,2,0,0,0,2,0,0,4,"Paul Sewald","13892",623149
"Dietrich Enns","BAL","ST",35,1,0,12,6,0,0,0,0,1,1,6,32,10,8,8,2,5,0,0,0,0,8,"Dietrich Enns","13932",608650
"Brent Suter","LAA","ST",36,0,0,8.307689260450047,6,1,0,0,0,1,2,8.2,41,12,8,8,2,5,0,0,0,0,8,"Brent Suter","13942",608718
"Michael Wacha","KCR","ST",34,1,1,8.437497485429798,4,3,0,0,0,0,0,10.2,52,13,10,10,2,7,0,0,1,0,16,"Michael Wacha","14078",608379
"Lance McCullers Jr.","HOU","ST",32,1,0,3.375,3,3,0,0,0,0,0,8,32,6,3,3,1,4,0,1,0,0,5,"Lance McCullers Jr.","14120",621121
