Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Nick Sogard","BOS",3,13,12,3,2,1,0,0,1,1,1,0,3,0,0,0,,0,0,0.237072,0.104622,0.213508,0.490013,0.320961,0.329977,0.292766,0.650938,0.0929049,4.05717,0.297898,-0.00127111,-0.00535181,1.37086,-0.222082,82.023,-0.00662293,0.100129,-0.29226835118606687,0.05198134109377861,0.0229032,999,,,,,,,10.7,3.566666666,10.7,3.566666666,,,,,,,,,,,,,,,,,,,"Nick Sogard","25483",686765
"Justin Foscue","TEX",3,13,12,3,2,1,0,0,1,1,1,0,3,0,0,0,,0,0,0.22455,0.0840378,0.192371,0.436852,0.299598,0.370973,0.295426,0.670571,0.146423,3.02948,0.253395,-0.00016,-0.0154485,1.39998,-0.19296,89.4573,-0.0156086,0.181734,-0.18312709126621485,-0.05900636315345764,0.0227143,999,,,,,,,10.7,3.566666666,10.7,3.566666666,,,,,,,,,,,,,,,,,,,"Justin Foscue","27501",679822
"Rowdy Tellez","ATL",8,34,30,7,4,1,0,1,4,4,3,0,8,0,0,0,,0,0,0.235561,0.0812989,0.227073,0.35803,0.30129,0.422357,0.31302,0.723647,0.186796,2.47829,0.265198,-0.00663582,-0.0336512,3.98138,-0.000972076,99.5427,-0.040287,0,-0.05855446681380272,-0.8425925970077515,0.0224915,999,,,,,,,30.5,3.8125,30.5,3.8125,,,,,,,,,,,,,,,,,,,"Rowdy Tellez","15679",642133
"Blaine Crim","COL",27,115,103,26,17,5,0,4,13,13,9,0,25,1,1,1,,1,0,0.25271,0.0765393,0.218277,0.350652,0.316609,0.414803,0.318325,0.731412,0.162093,2.91958,0.297554,-0.0145537,-0.158117,14.0303,0.490338,89.9954,-0.172671,0.13025,-1.5314615219831467,-2.0604906231164932,0.0224446,999,,,,,,,126.6,4.688888888,126.6,4.688888888,,,,,,,,,,,,,,,,,,,"Blaine Crim","25714",688760
"Anthony Seigler","BOS",2,7,6,1,1,0,0,0,1,1,1,0,1,0,0,0,,0,0,0.221627,0.126289,0.217133,0.581619,0.323595,0.343785,0.299843,0.667381,0.122158,4.70458,0.271995,-0.0000141818,0.000701973,0.724161,-0.0723094,86.8981,0.000687791,0.0661835,-0.10340342111885548,0.09025755152106285,0.0223988,999,,,,,,,2.6,1.3,2.6,1.3,,,,,,,,,,,,,,,,,,,"Anthony Seigler","23802",678011
"Ryan Ward","LAD",2,7,6,1,1,0,0,0,1,1,0,0,2,0,0,0,,0,0,0.224851,0.0726193,0.272114,0.266871,0.282764,0.430586,0.306334,0.71335,0.205734,4.55866,0.26306,-0.000151667,-0.0039035,0.759684,-0.036786,95.9426,-0.00405517,0.0958637,-0.03647017199546099,0.023641467094421387,0.0216255,999,,,,,,,-0.4,-0.2,-0.4,-0.2,,,,,,,,,,,,,,,,,,,"Ryan Ward","sa1169792",669899
"Jonathon Long","CHC",2,7,6,1,1,0,0,0,1,1,1,0,2,0,0,0,,0,0,0.242527,0.098246,0.231755,0.423922,0.324617,0.387236,0.313389,0.711853,0.144709,2.52973,0.294569,-0.0000219718,-0.0105071,0.798298,0.00182765,102.059,-0.0105291,0.0996007,0.005920472554862499,-0.020769670605659485,0.0214188,999,,,,,,,2.6,1.3,2.6,1.3,,,,,,,,,,,,,,,,,,,"Jonathon Long","sa3022864",675085
"RJ Schreck","TOR",2,7,6,1,1,0,0,0,1,1,1,0,2,0,0,0,,0,0,0.218752,0.114319,0.225521,0.50691,0.321844,0.370652,0.308152,0.692496,0.151901,3.32828,0.259552,-0.0000537931,-0.00671803,0.769635,-0.0268355,97.4216,-0.00677182,0.0743759,-0.027256176806986332,0.002153649926185608,0.0211755,999,,,,,,,2.6,1.3,2.6,1.3,,,,,,,,,,,,,,,,,,,"RJ Schreck","sa3022602",702302
"Weston Wilson","BAL",2,7,6,1,1,0,0,0,1,1,1,0,2,0,0,0,,0,0,0.225583,0.0895096,0.280051,0.319619,0.297828,0.397375,0.303173,0.695203,0.171792,5.12569,0.281993,-0.000393391,0.00639948,0.74239,-0.0540808,94.833,0.00600609,-0.0252248,-0.03504433203488588,-0.0011507552117109299,0.0200406,999,,,,,,,2.6,1.3,2.6,1.3,,,,,,,,,,,,,,,,,,,"Weston Wilson","19358",642215
"Christian Cairo","PHI",3,13,12,2,2,0,0,0,1,1,1,0,3,0,0,0,,1,0,0.2064,0.101508,0.257929,0.39355,0.298326,0.288305,0.268059,0.58663,0.0819052,5.92402,0.279312,-0.0000276106,0.0309093,1.10043,-0.492508,67.604,0.0308817,0.137541,-0.486752487719059,0.23383702337741852,0.0199996,999,,,,,,,4.1,1.366666666,4.1,1.366666666,,,,,,,,,,,,,,,,,,,"Christian Cairo","sa3010028",686551
"Akil Baddoo","MIL",2,7,6,1,1,0,0,0,1,1,1,0,2,0,0,0,,0,0,0.225058,0.107617,0.278795,0.386007,0.309998,0.379756,0.303249,0.689753,0.154698,6.30545,0.293822,0.000963529,0.0138721,0.742806,-0.0536645,94.0754,0.0148356,0.0728157,-0.0324969869107008,0.0005934461951255798,0.0196739,999,,,,,,,2.6,1.3,2.6,1.3,,,,,,,,,,,,,,,,,,,"Akil Baddoo","22168",668731
"Mark Canha","TEX",14,61,53,12,8,2,0,1,6,5,6,0,13,2,0,0,,1,0,0.223975,0.0926633,0.207107,0.447419,0.317949,0.323538,0.290561,0.641487,0.0995637,3.70087,0.274335,-0.01596,-0.0375896,6.0603,-1.10794,86.1061,-0.0535496,0.0413568,-1.0470020100474358,-0.8493839874863625,0.01967,999,,,,,,,55.3,3.95,55.3,3.95,,,,,,,,,,,,,,,,,,,"Mark Canha","11445",592192
"Hao-Yu  Lee","DET",2,7,6,1,1,0,0,0,1,1,1,0,2,0,0,0,,0,0,0.24284,0.0788759,0.225168,0.350298,0.312097,0.391692,0.307713,0.70379,0.148852,6.33706,0.295672,0,0.00502402,0.767233,-0.0292372,96.2649,0.00502402,-0.0405372,-0.024650356266647577,-0.01646316424012184,0.0195374,999,,,,,,,2.6,1.3,2.6,1.3,,,,,,,,,,,,,,,,,,,"Hao-Yu  Lee","sa3017863",701678
"Blake Dunn","CIN",3,13,12,3,2,0,0,0,1,1,1,0,4,0,0,0,,1,0,0.221544,0.0877611,0.278347,0.315294,0.311868,0.336817,0.291748,0.648685,0.115273,5.74389,0.297562,-0.0000226087,0.0559008,1.35972,-0.233218,80.562,0.0558782,0.0322651,-0.25470973178744316,-0.015883099287748337,0.018191,999,,,,,,,9.7,3.233333333,9.7,3.233333333,,,,,,,,,,,,,,,,,,,"Blake Dunn","29487",694362
